,country,year,Inflation,Unemployment Rate,avg_wage,exchange_rate,old_age_dependency,pop_tertiary_ed,public_spend,working_age
356,Iceland,2000,5.13647123245151,1.94000005722046,53058.0895907206,78.615947,20.2,36.615101499999994,0.184,65.1429587482219
357,Israel,2020,-0.588430300016595,4.32999992370605,40047.2423853235,3.442406,23.9,47.257065,0.36394999999999994,59.8841490060947
358,Israel,2019,0.844128708733833,3.79999995231628,39960.0644052245,3.564527,22.7,47.04248,0.302,59.9750652361723
359,Israel,2018,0.817323896191417,4.0,39142.8293233069,3.590558,19.65789473684211,47.1143,0.282,60.0976903135105
360,Israel,2017,0.244953121040659,4.21999979019165,38066.6244881282,3.599556,21.5,48.028301,0.273,60.2777396494633
361,Israel,2016,-0.546034946236581,4.80000019073486,36928.6201001826,3.840567,19.65789473684211,47.449234,0.282,60.5165171251282
362,Israel,2015,-0.634390651085145,5.25,35546.0725838944,3.886833,21.1,45.897861,0.307,60.7701605305586
363,Israel,2014,0.486495554437183,5.8899998664856,34521.1007783491,3.577925,19.9,46.005543,0.326,61.0174729553336
364,Israel,2013,1.57621197921105,6.21000003814697,34272.5322849684,3.610758,19.6,44.848808,0.33,61.2555611693891
365,Israel,2012,1.68948189221972,6.8600001335144,34139.998140731,3.855922,19.4,44.498508,0.315,61.5535504912759
366,Israel,2011,3.47857270934193,7.1399998664856,33570.3851113729,3.578129,19.2,45.042313,0.293,61.8064490707499
367,Israel,2010,2.71664057463854,8.47999954223633,33256.3842037834,3.738975,19.1,44.216198,0.321,62.1515850663489
368,Israel,2009,3.34031214312906,9.52999973297119,33299.4397377855,3.932335,18.9,42.920982,0.397,62.3148954020171
369,Israel,2008,4.55721393034826,7.69999980926514,34129.2929228828,3.588021,18.8,42.284912,0.261,61.8783807727539
370,Israel,2007,0.459816073570569,9.38000011444092,34879.1254739486,4.108083,18.7,41.547859,0.267,61.819689644225
371,Israel,2006,2.06080391756786,10.710000038147,34541.3735264742,4.455808,18.6,44.693049647058814,0.306,61.7671459843739
372,Israel,2005,1.31266149870799,11.3400001525879,33597.7414688303,4.4877,18.6,42.927929,0.346,61.7388740871741
373,Israel,2004,-0.411734431291799,13.0299997329712,33488.567820238,4.481983,18.6,44.693049647058814,0.38,61.7256572183874
374,Israel,2003,0.725764644893717,13.5100002288818,33974.9926911315,4.554133,18.6,41.953953,0.451,61.7441738792472
375,Israel,2002,5.75657894736842,12.8900003433228,35176.9558316216,4.737825,18.7,40.745598,0.632,61.7610350076104
376,Israel,2001,1.15350488021294,11.8100004196167,36541.6911580084,4.20565,18.8,44.693049647058814,0.649,61.7316353471036
377,Israel,2000,1.05357543151761,11.1000003814697,36017.7075849572,4.077333,18.8,44.693049647058814,0.559,61.624689944667
378,Italy,2020,-0.13770757391657,9.15999984741211,39207.8129041127,0.875506,39.5,28.628069,0.6721666666666668,63.6898058836776
379,Italy,2019,0.611246943765291,9.94999980926514,41625.2801490976,0.893276,38.5,27.931559,0.6721666666666668,63.8771046135536
380,Italy,2018,1.13748763600395,10.6099996566772,41414.8416985773,0.846773,33.747368421052634,27.863623,0.6721666666666668,63.9821931600828
381,Italy,2017,1.22653316645808,11.210000038147,41354.645592233,0.885206,37.6,26.816479,0.913,64.0469739686779
382,Italy,2016,-0.0940166569157271,11.6899995803833,41629.126030765,0.903421,33.747368421052634,25.584146,0.972,64.1341893117916
383,Italy,2015,0.0387903996579552,11.8999996185303,41300.2733336456,0.901296,37.8,25.149963,0.994,64.2608379311972
384,Italy,2014,0.241047429826773,12.6800003051758,40939.7003746712,0.752728,35.9,24.158854,1.014,64.4556343735223
385,Italy,2013,1.21999342274305,12.1499996185303,40783.7279388462,0.752945,35.2,22.744907,1.039,64.7240773651298
386,Italy,2012,3.04136333226773,10.6499996185303,40654.6113437852,0.778338,34.5,22.250719,0.904,65.0031317678553
387,Italy,2011,2.78063272879324,8.35999965667725,41981.3474944712,0.718414,33.9,20.983423,0.791,65.3089857597711
388,Italy,2010,1.52551602118248,8.35999965667725,42669.1121098793,0.754309,33.4,20.719744,0.817,65.5099511024868
389,Italy,2009,0.774768131387384,7.75,42305.508040975,0.716958,33.0,20.160688,0.771,65.600894735824
390,Italy,2008,3.34783258401023,6.71999979019165,41984.6047402379,0.679923,32.7,19.90484,0.489,65.7142942068899
391,Italy,2007,1.829741122024,6.07999992370605,42038.2190799334,0.729672,32.5,18.863468,0.422,65.7968522053493
