year,unitid,inst_name,state_abbr,inst_control,institution_level
"2020","121275","Platt College-San Diego","CA","Private for-profit","Four or more years"
"2020","121309","Point Loma Nazarene University","CA","Private not-for-profit","Four or more years"
"2020","121345","Pomona College","CA","Private not-for-profit","Four or more years"
"2020","490045","Presbyterian Theological Seminary in America","CA","Private not-for-profit","Four or more years"
"2020","486433","Presidio Graduate School","CA","Private not-for-profit","Four or more years"
"2020","455770","Providence Christian College","CA","Private not-for-profit","Four or more years"
"2020","438665","Rancho Santiago Community College District Office","CA","Public","Four or more years"
"2020","492209","Reiss-Davis Graduate School","CA","Private not-for-profit","Four or more years"
"2020","121886","Rio Hondo College","CA","Public","Four or more years"
"2020","447458","SAE Expression College","CA","Private for-profit","Four or more years"
"2020","123554","Saint Mary's College of California","CA","Private not-for-profit","Four or more years"
"2020","122296","Samuel Merritt University","CA","Private not-for-profit","Four or more years"
"2020","112084","San Diego Christian College","CA","Private not-for-profit","Four or more years"
"2020","122320","San Diego Community College District-District Office","CA","Public","Four or more years"
"2020","493512","San Diego Global Knowledge University","CA","Private for-profit","Four or more years"
"2020","122375","San Diego Mesa College","CA","Public","Four or more years"
"2020","122409","San Diego State University","CA","Public","Four or more years"
"2020","122454","San Francisco Art Institute","CA","Private not-for-profit","Four or more years"
"2020","122506","San Francisco Conservatory of Music","CA","Private not-for-profit","Four or more years"
"2020","122597","San Francisco State University","CA","Public","Four or more years"
"2020","122649","San Joaquin College of Law","CA","Private not-for-profit","Four or more years"
"2020","448381","San Joaquin Valley College-Central Administrative Office","CA","Private for-profit","Four or more years"
"2020","122685","San Joaquin Valley College-Visalia","CA","Private for-profit","Four or more years"
"2020","122755","San Jose State University","CA","Public","Four or more years"
"2020","122782","San Mateo County Community College District Office","CA","Public","Four or more years"
"2020","481535","Sanford Burnham Prebys Medical Discovery Institute","CA","Private not-for-profit","Four or more years"
"2020","121619","Santa Ana College","CA","Public","Four or more years"
"2020","122834","Santa Barbara Business College-Bakersfield","CA","Private for-profit","Four or more years"
"2020","122852","Santa Barbara Business College-Santa Maria","CA","Private for-profit","Four or more years"
"2020","122931","Santa Clara University","CA","Private not-for-profit","Four or more years"
"2020","122977","Santa Monica College","CA","Public","Four or more years"
"2020","123095","Saybrook University","CA","Private not-for-profit","Four or more years"
"2020","123165","Scripps College","CA","Private not-for-profit","Four or more years"
"2020","123280","Shasta Bible College and Graduate School","CA","Private not-for-profit","Four or more years"
"2020","123299","Shasta College","CA","Public","Four or more years"
"2020","123457","Simpson University","CA","Private not-for-profit","Four or more years"
"2020","110778","Sofia University","CA","Private for-profit","Four or more years"
"2020","399911","Soka University of America","CA","Private not-for-profit","Four or more years"
"2020","123563","Solano Community College","CA","Public","Four or more years"
"2020","123572","Sonoma State University","CA","Public","Four or more years"
"2020","123633","South Baylo University","CA","Private not-for-profit","Four or more years"
"2020","123952","Southern California Institute of Architecture","CA","Private not-for-profit","Four or more years"
"2020","399869","Southern California Institute of Technology","CA","Private for-profit","Four or more years"
"2020","117575","Southern California Seminary","CA","Private not-for-profit","Four or more years"
"2020","117672","Southern California University of Health Sciences","CA","Private not-for-profit","Four or more years"
"2020","490063","Southern States University","CA","Private for-profit","Four or more years"
"2020","123970","Southwestern Law School","CA","Private not-for-profit","Four or more years"
"2020","123855","St John's Seminary","CA","Private not-for-profit","Four or more years"
"2020","446561","Stanbridge University","CA","Private for-profit","Four or more years"
"2020","243744","Stanford University","CA","Private not-for-profit","Four or more years"
"2020","123916","Starr King School for the Ministry","CA","Private not-for-profit","Four or more years"
"2020","447953","SUM Bible College and Theological Seminary","CA","Private not-for-profit","Four or more years"
"2020","488800","Teachers College of San Joaquin","CA","Public","Four or more years"
"2020","455433","The Chicago School of Professional Psychology at Anaheim","CA","Private not-for-profit","Four or more years"
"2020","455664","The Chicago School of Professional Psychology at Los Angeles","CA","Private not-for-profit","Four or more years"
"2020","491190","The Chicago School of Professional Psychology at San Diego","CA","Private not-for-profit","Four or more years"
"2020","117751","The Master's University and Seminary","CA","Private not-for-profit","Four or more years"
"2020","475228","The Santa Barbara and Ventura Colleges of Law at Santa Barbara","CA","Private not-for-profit","Four or more years"
"2020","125037","The Santa Barbara and Ventura Colleges of Law at Ventura","CA","Private not-for-profit","Four or more years"
"2020","475237","The University of America","CA","Private not-for-profit","Four or more years"
"2020","126012","The Wright Institute","CA","Private not-for-profit","Four or more years"
"2020","124292","Thomas Aquinas College","CA","Private not-for-profit","Four or more years"
"2020","126049","Thomas Jefferson School of Law","CA","Private not-for-profit","Four or more years"
"2020","459736","Touro University California","CA","Private not-for-profit","Four or more years"
"2020","459727","Touro University Worldwide","CA","Private not-for-profit","Four or more years"
"2020","450979","Trident University International","CA","Private for-profit","Four or more years"
"2020","123448","Trinity Law School","CA","Private not-for-profit","Four or more years"
"2020","447050","United States University","CA","Private for-profit","Four or more years"
"2020","459204","Unitek College","CA","Private for-profit","Four or more years"
"2020","442930","University of Antelope Valley","CA","Private for-profit","Four or more years"
"2020","110635","University of California-Berkeley","CA","Public","Four or more years"
"2020","110644","University of California-Davis","CA","Public","Four or more years"
"2020","110398","University of California-Hastings College of Law","CA","Public","Four or more years"
"2020","110653","University of California-Irvine","CA","Public","Four or more years"
"2020","110662","University of California-Los Angeles","CA","Public","Four or more years"
"2020","445188","University of California-Merced","CA","Public","Four or more years"
"2020","110671","University of California-Riverside","CA","Public","Four or more years"
"2020","110680","University of California-San Diego","CA","Public","Four or more years"
"2020","110699","University of California-San Francisco","CA","Public","Four or more years"
"2020","110705","University of California-Santa Barbara","CA","Public","Four or more years"
"2020","110714","University of California-Santa Cruz","CA","Public","Four or more years"
"2020","124557","University of California-System Administration Central Office","CA","Public","Four or more years"
"2020","447801","University of East-West Medicine","CA","Private for-profit","Four or more years"
"2020","117140","University of La Verne","CA","Private not-for-profit","Four or more years"
"2020","484631","University of Phoenix-California","CA","Private for-profit","Four or more years"
"2020","122603","University of Redlands Graduate School of Theology","CA","Private not-for-profit","Four or more years"
"2020","121691","University of Redlands","CA","Private not-for-profit","Four or more years"
"2020","488785","University of Saint Katherine","CA","Private not-for-profit","Four or more years"
"2020","122436","University of San Diego","CA","Private not-for-profit","Four or more years"
"2020","122612","University of San Francisco","CA","Private not-for-profit","Four or more years"
