year,unitid,inst_name,state_abbr,level_of_study,enrollment_fall
"2020","120537","Hope International University","CA","Undergraduate","657"
"2020","115755","Humboldt State University","CA","Graduate","604"
"2020","115755","Humboldt State University","CA","Undergraduate","6008"
"2020","115773","Humphreys University-Stockton and Modesto Campuses","CA","Graduate","174"
"2020","115773","Humphreys University-Stockton and Modesto Campuses","CA","Undergraduate","227"
"2020","486965","Hussian College-Los Angeles","CA","Undergraduate","266"
"2020","489335","Institute of Buddhist Studies","CA","Graduate","27"
"2020","116226","Interior Designers Institute","CA","Graduate","5"
"2020","116226","Interior Designers Institute","CA","Undergraduate","139"
"2020","485519","International Sports Sciences Association","CA","Undergraduate","431"
"2020","443128","International Technological University","CA","Graduate","299"
"2020","441238","Irell & Manella Graduate School of Biological Sciences at City of Hope","CA","Graduate","90"
"2020","462354","John Paul the Great Catholic University","CA","Undergraduate","274"
"2020","440031","Keck Graduate Institute","CA","Graduate","631"
"2020","117627","La Sierra University","CA","Graduate","416"
"2020","117627","La Sierra University","CA","Undergraduate","1577"
"2020","117168","Laguna College of Art and Design","CA","Graduate","50"
"2020","117168","Laguna College of Art and Design","CA","Undergraduate","732"
"2020","117283","Latin American Bible Institute","CA","Undergraduate","60"
"2020","454786","Laurus College","CA","Undergraduate","897"
"2020","117520","Life Chiropractic College West","CA","Graduate","598"
"2020","117104","Life Pacific University","CA","Graduate","114"
"2020","117104","Life Pacific University","CA","Undergraduate","490"
"2020","117557","Lincoln University","CA","Graduate","283"
"2020","117557","Lincoln University","CA","Undergraduate","88"
"2020","117636","Loma Linda University","CA","Graduate","3300"
"2020","117636","Loma Linda University","CA","Undergraduate","1168"
"2020","490124","Los Angeles Academy of Figurative Art","CA","Undergraduate","5"
"2020","446385","Los Angeles College of Music","CA","Undergraduate","249"
"2020","436429","Los Angeles Film School","CA","Undergraduate","5669"
"2020","474863","Los Angeles Pacific University","CA","Graduate","290"
"2020","474863","Los Angeles Pacific University","CA","Undergraduate","1746"
"2020","117946","Loyola Marymount University","CA","Graduate","3013"
"2020","117946","Loyola Marymount University","CA","Undergraduate","6673"
"2020","123943","Marshall B Ketchum University","CA","Graduate","738"
"2020","118541","Marymount California University","CA","Graduate","67"
"2020","118541","Marymount California University","CA","Undergraduate","515"
"2020","476595","Medical Allied Career Center","CA","Undergraduate","79"
"2020","118693","Menlo College","CA","Undergraduate","826"
"2020","491808","Meridian University","CA","Graduate","125"
"2020","119058","Middlebury Institute of International Studies at Monterey","CA","Graduate","673"
"2020","119058","Middlebury Institute of International Studies at Monterey","CA","Undergraduate","13"
"2020","118888","Mills College","CA","Graduate","348"
"2020","118888","Mills College","CA","Undergraduate","613"
"2020","118912","MiraCosta College","CA","Undergraduate","12645"
"2020","118976","Modesto Junior College","CA","Undergraduate","16365"
"2020","119173","Mount Saint Mary's University","CA","Graduate","674"
"2020","119173","Mount Saint Mary's University","CA","Undergraduate","2071"
